ID_PERSON,AS_ACTOR,AS_COMPOSER,AS_DIRECTOR,PERSON_NAME
nm0000021,tt0026787|tt0028603|tt0028757|tt0029248|tt0029277|tt0029454|tt0029804|tt0029925|tt0030090|tt0030400|tt0030760|tt0031398|tt0031620|tt0032143|tt0032976|tt0034248|tt0035431|tt0035751|tt0036840|tt0036969|tt0037498|tt0038537|tt0039504|tt0040317|tt0040512|tt0040536|tt0040982|tt0042275|tt0042947|tt0043454|tt0044760|tt0045174|tt0045557|tt0045675|tt0045774|tt0046834|tt0049006|tt0049737|tt0050549|tt0051141|tt0051466|tt0055608|tt0056566|tt0060307|tt0078449|tt0090908|tt0109919|tt2271315,,,Joan Fontaine
nm0000022,tt0015491|tt0016226|tt0021778|tt0021825|tt0021865|tt0021885|tt0022059|tt0022208|tt0022243|tt0022276|tt0022357|tt0022425|tt0022453|tt0022987|tt0023277|tt0023349|tt0023382|tt0023523|tt0023926|tt0024130|tt0024381|tt0024770|tt0024963|tt0025132|tt0025316|tt0025464|tt0025489|tt0026043|tt0026164|tt0026205|tt0026752|tt0027413|tt0027914|tt0028216|tt0028505|tt0029377|tt0029516|tt0030848|tt0030879|tt0031381|tt0031473|tt0032273|tt0032349|tt0033105|tt0033726|tt0034281|tt0035356|tt0037494|tt0039477|tt0040242|tt0040446|tt0041127|tt0042634|tt0043052|tt0043262|tt0043751|tt0046085|tt0046124|tt0046770|tt0048640|tt0048691|tt0049407|tt0050166|tt0052151|tt0052278|tt0052662|tt0053957|tt0055184,,,Clark Gable
nm0000023,tt0028103|tt0028665|tt0029664|tt0030108|tt0030368|tt0030386|tt0031066|tt0032138|tt0032206|tt0032718|tt0033110|tt0033832|tt0034415|tt0034485|tt0034746|tt0035942|tt0036275|tt0037059|tt0037604|tt0038589|tt0039035|tt0039116|tt0040308|tt0040694|tt0040976|tt0041507|tt0043012|tt0047522|tt0055031|tt0056930|tt0057093|tt0057168|tt11310856,,,Judy Garland
nm0000024,tt0024073|tt0028231|tt0045943|tt0047029|tt0048960|tt0049674|tt0050169|tt0050928|tt0057327|tt0057877|tt0059012|tt0059410|tt0062684|tt0062790|tt0063570|tt0063599|tt0065922|tt0067038|tt0069125|tt0070337|tt0071080|tt0071566|tt0071877|tt0073029|tt0073533|tt0075627|tt0076574|tt0077936|tt0079090|tt0079592|tt0079740|tt0080491|tt0080678|tt0080754|tt0080903|tt0081059|tt0081752|tt0082031|tt0082158|tt0082940|tt0083113|tt0083987|tt0084100|tt0084140|tt0086251|tt0086287|tt0086582|tt0087028|tt0087288|tt0087692|tt0088046|tt0088111|tt0089816|tt0089932|tt0090792|tt0092206|tt0094669|tt0094678|tt0095578|tt0097424|tt0100708|tt0102722|tt0105391|tt0105506|tt0113071|tt0113269|tt0116859|tt0127933|tt0139153|tt0407048|tt1079966|tt1111778,,tt0058175,John Gielgud
nm0000025,,tt0050196|tt0052696|tt0052794|tt0054348|tt0054770|tt0055998|tt0056195|tt0056516|tt0057090|tt0057251|tt0057254|tt0057426|tt0057537|tt0057556|tt0058091|tt0058525|tt0058576|tt0058585|tt0059309|tt0059470|tt0059557|tt0059573|tt0059678|tt0059885|tt0060177|tt0060934|tt0060955|tt0061024|tt0061098|tt0061122|tt0061678|tt0061787|tt0061810|tt0062473|tt0062708|tt0062883|tt0063442|tt0063570|tt0063970|tt0064148|tt0064473|tt0064526|tt0065446|tt0066206|tt0066301|tt0066404|tt0066473|tt0066485|tt0066864|tt0066954|tt0066957|tt0067001|tt0067065|tt0067147|tt0067209|tt0067329|tt0067419|tt0067989|tt0068435|tt0068912|tt0069050|tt0069137|tt0069676|tt0069989|tt0070481|tt0070511|tt0070598|tt0070680|tt0071315|tt0072107|tt0072411|tt0072677|tt0072735|tt0072737|tt0073047|tt0073615|tt0073784|tt0073796|tt0073906|tt0074292|tt0074776|tt0074812|tt0075005|tt0075876|tt0075909|tt0076145|tt0076211|tt0076342|tt0076845|tt0077269|tt0077294|tt0077355|tt0077394|tt0077889|tt0078350|tt0078748|tt0079240|tt0079723|tt0079945|tt0080485|tt0082377|tt0082810|tt0082869|tt0082969|tt0083024|tt0083726|tt0083944|tt0084132|tt0084516|tt0084649|tt0086154|tt0086491|tt0086510|tt0087363|tt0087635|tt0088024|tt0088206|tt0088760|tt0089114|tt0089421|tt0089469|tt0089880|tt0091217|tt0091415|tt0091778|tt0092997|tt0093260|tt0093424|tt0095956|tt0095977|tt0096734|tt0097125|tt0097737|tt0098382|tt0098622|tt0099700|tt0100530|tt0100802|tt0102555|tt0102945|tt0103772|tt0104291|tt0104765|tt0104839|tt0104905|tt0104926|tt0106701|tt0107497|tt0107529|tt0108002|tt0108149|tt0108473|tt0109129|tt0109198|tt0110099|tt0110997|tt0111143|tt0112715|tt0113071|tt0114168|tt0115857|tt0115907|tt0116253|tt0116409|tt0117731|tt0118571|tt0118956|tt0119051|tt0119115|tt0119488|tt0120616|tt0120657|tt0120762|tt0120844|tt0120873|tt0122718|tt0164052|tt0164184|tt0164334|tt0171363|tt0253754|tt0272020|tt0318155|tt0455708,,Jerry Goldsmith
nm0000026,tt0022698|tt0022814|tt0023028|tt0023169|tt0023213|tt0023479|tt0023584|tt0023753|tt0023973|tt0024048|tt0024166|tt0024548|tt0024781|tt0024906|tt0025351|tt0025363|tt0025880|tt0026315|tt0026607|tt0027067|tt0027221|tt0027286|tt0027357|tt0028330|tt0028486|tt0028597|tt0029284|tt0029675|tt0029682|tt0029761|tt0029947|tt0030241|tt0031398|tt0031477|tt0031762|tt0032599|tt0032612|tt0032904|tt0034012|tt0034248|tt0035151|tt0035417|tt0035799|tt0036174|tt0036613|tt0037135|tt0037150|tt0038776|tt0038787|tt0039169|tt0039190|tt0040331|tt0040613|tt0041498|tt0042352|tt0043915|tt0044916|tt0045102|tt0045706|tt0048728|tt0050105|tt0050599|tt0050858|tt0051745|tt0051773|tt0053125|tt0053143|tt0053877|tt0056575|tt0056923|tt0058092|tt0061170|tt0070199,,,Cary Grant
nm0000027,tt0038574|tt0040662|tt0041546|tt0041831|tt0042665|tt0042757|tt0044829|tt0044876|tt0045056|tt0045607|tt0046029|tt0046970|tt0048281|tt0048512|tt0048730|tt0049815|tt0050168|tt0050212|tt0051739|tt0053247|tt0054152|tt0054412|tt0055124|tt0055884|tt0056172|tt0058085|tt0059113|tt0059724|tt0060520|tt0060880|tt0061502|tt0065593|tt0066344|tt0069824|tt0070184|tt0074264|tt0074937|tt0076759|tt0080684|tt0081062|tt0081400|tt0085873|tt0087192|tt0087892|tt0102181|tt0110604|tt0116230,,,Alec Guinness
nm0000028,tt0026197|tt0026262|tt0026839|tt0027769|tt0028162|tt0028915|tt0028933|tt0029004|tt0029338|tt0029366|tt0029543|tt0029694|tt0030013|tt0030303|tt0030668|tt0030974|tt0031438|tt0031589|tt0031762|tt0031960|tt0032209|tt0032263|tt0032686|tt0032823|tt0033117|tt0033319|tt0033405|tt0034236|tt0034409|tt0035103|tt0035415|tt0035583|tt0036723|tt0038178|tt0038559|tt0039337|tt0040525|tt0040552|tt0044331|tt0046076|tt0046269|tt0050397|tt0050815|tt0052182|tt0053308|tt0053351|tt0056057|tt0057952|tt0059460|tt0060848|tt0061377|tt0062712|tt0067476|tt0067681|tt0069515,,,Rita Hayworth
nm0000029,tt0074802|tt0077800|tt0084786|tt0087350|tt0087864|tt0101759|tt0102122|tt0104069|tt0106954|tt0110138|tt0116017|tt0183973|tt5348618,,,Margaux Hemingway
nm0000030,tt0040639|tt0043865|tt0044014|tt0044225|tt0046250|tt0047437|tt0049934|tt0050419|tt0050658|tt0052864|tt0053131|tt0054428|tt0054698|tt0054743|tt0056923|tt0058385|tt0058453|tt0060522|tt0062407|tt0062467|tt0075147|tt0078879|tt0083189|tt0093440|tt0096794,,,Audrey Hepburn
